HIP,HD,ra_j2000,dec_j2000,tmass_id,theta_LD,e_theta_LD,ref_theta_LD,teff,e_teff,e_teff_percent,logg,e_logg,fe_h
HIP79672,HD146233,243.905279,-8.369341,16153726-0822096,0.676,0.006,2011A\&A...526L...4B,5824,30,0.5,4.42,0.01,0.03
HIP7981,HD10476,25.624075,20.268711,01422977+2016073,1,0.004,2013ApJ...771...40B,5129,71,1.4,4.52,0.01,-0.04
HIP80843,HD148897,247.639797,20.479153,16303355+2028449,1.917,0.045,2021ApJ...922..163V,4227,51,1.2,1.11,0.07,-0.92
HIP8102,HD10700,26.016767,-15.937274,01440402-1556141,2.005,0.011,2020MNRAS.493.2377R,5463,16,0.3,4.52,0.01,-0.51
HIP81300,HD149661,249.089291,-2.324499,16362142-0219281,0.724,0.011,2012ApJ...757..112B,5408,47,0.9,4.62,0.02,0.03
HIP8159,HD10697,26.232614,20.083134,01445582+2004592,0.547,0.012,2013ApJ...771...40B,5438,61,1.1,3.94,0.08,0.14
HIP81693,HD150680,250.322,31.602591,16411728+3136093,2.367,0.051,2003AJ....126.2502M,5760,96,1.7,3.72,0.03,0.03
HIP83000,HD153210,254.416997,9.37498,16574007+0922299,3.608,0.041,2016ApJS..227....4H,4499,68,1.5,2.49,0.07,0.02
HIP8362,HD10780,26.937013,63.85252,01474488+6351090,0.763,0.018,2012ApJ...746..101B,5293,77,1.5,4.55,0.03,0.03
HIP8404,HD11037,27.1084,3.685469,01482601+0341076,0.89,0.019,2020A\&A...639A..67N,4834,59,1.2,2.33,0.21,-0.13
HIP84862,HD157214,260.164798,32.468246,17203955+3228056,0.725,0.012,2013ApJ...771...40B,5825,49,0.8,4.26,0.03,-0.39
HIP84950,HD157681,260.438904,53.420433,17214533+5325135,1.908,0.013,2016AJ....152...66B,4108,23,0.6,1.35,0.03,-0.23
HIP85235,HD158633,261.25081,67.306847,17250019+6718246,0.573,0.01,2013ApJ...771...40B,5188,51,1,4.51,0.02,-0.46
HIP85258,HD157244,261.324841,-55.529942,17251796-5531477,5.997,0.037,2015A\&A...582A..49H,4232,17,0.4,0.97,0.06,0.5
HIP86614,HD162003,265.484806,72.148926,17415635+7208561,0.949,0.025,2012ApJ...746..101B,5936,89,1.5,3.82,0.04,0.01
HIP86742,HD161096,265.868129,4.567303,17432835+0434022,4.498,0.032,2016ApJS..227....4H,4577,18,0.4,2.33,0.07,0.06
HIP86974,HD161797,266.61469,27.720621,17462752+2743142,1.88,0.008,2018AJ....155...30B,5665,16,0.3,4.05,0.04,0.25
HIP87808,HD163770,269.063212,37.250542,17561517+3715019,3.15,0.003,2009MNRAS.394.1925V,4448,23,0.5,1.37,0.04,-0.03
HIP87833,HD164058,269.151558,51.488831,17563637+5129197,9.86,0.128,2003AJ....126.2502M,4018,32,0.8,1.33,0.04,-0.08
HIP88348,HD164922,270.628545,26.313084,18023085+2618471,0.412,0.01,2016ApJ...830...46F,5392,66,1.2,4.43,0.03,0.18
HIP8837,HD11695,28.41145,-46.30267,01533874-4618096,8.13,0.2,2004A\&A...413..711W,3362,183,5.4,0.44,0.06,-1.24
HIP89047,HD167042,272.631936,54.286514,18103166+5417114,0.831,0.0068,2020A\&A...640A...2S,4987,66,1.3,3.41,0.06,0.04
HIP8928,HD11977,28.733907,-67.647316,01545613-6738503,1.528,0.013,2018A\&A...616A..68G,4890,30,0.6,2.61,0.05,-0.15
HIP89348,HD168151,273.474281,64.397278,18135382+6423502,0.664,0.014,2016A\&A...586A..94L,6569,69,1.1,4.09,0.03,-0.29
HIP89962,HD168723,275.327614,-2.898733,18211862-0253554,3.062,0.048,2016ApJS..227....4H,4801,47,1,2.92,0.04,-0.2
HIP90344,HD170693,276.496499,65.563515,18255915+6533486,2.041,0.043,2010ApJ...710.1365B,4367,46,1.1,1.86,0.04,-0.45
HIP9094,HD11964,29.29021,-10.242329,01570965-1014323,0.607,0.015,2013ApJ...771...40B,5082,63,1.2,3.88,0.08,0.11
HIP91949,HD173701,281.146444,43.833313,18443514+4349599,0.332,0.006,2012ApJ...760...32H,5315,48,0.9,4.44,0.03,0.3
HIP92043,HD173667,281.415538,20.546289,18453972+2032466,1,0.006,2012ApJ...746..101B,6426,20,0.3,3.95,0.03,-0.04
HIP92167,HD175305,281.776931,74.725464,18470646+7443316,0.484,0.006,2020A\&A...640A..25K,4902,30,0.6,2.53,0.02,-1.45
HIP92512,HD175306,282.800436,59.388332,18511210+5923179,2.189,0.007,2015ApJ...809..159R,4464,23,0.5,1.78,0.06,-0.53
HIP92984,HD175726,284.154867,4.265151,18563716+0415545,0.346,0.007,2012ApJ...760...32H,6070,62,1,4.48,0.03,-0.04
HIP93427,HD177153,285.415306,41.490086,19013967+4129243,0.289,0.006,2012ApJ...760...32H,6016,63,1,4.24,0.03,-0.05
HIP93429,HD176678,285.420153,-5.739166,19014083-0544209,2.463,0.012,2018AJ....155...30B,4491,105,2.3,2.31,0.11,-0.08
HIP9440,HD12438,30.311374,-30.001823,02011472-3000065,1.091,0.016,2018A\&A...616A..68G,4954,42,0.8,2.45,0.08,-0.58
HIP94755,HD181096,289.21415,46.998985,19165139+4659563,0.443,0.007,2019MNRAS.489..928S,6390,51,0.8,3.94,0.03,-0.25
HIP95362,HD182736,291.014074,44.933479,19240337+4456005,0.436,0.003,2012ApJ...760...32H,5268,18,0.3,3.77,0.07,-0.11
HIP95447,HD182572,291.242622,11.944485,19245822+1156401,0.845,0.025,2012ApJ...746..101B,5673,84,1.5,4.22,0.04,0.38
HIP96014,HD184293,292.830637,50.306675,19311935+5018240,1.548,0.022,2016AJ....152...66B,4336,42,1,1.79,0.05,-0.35
HIP96100,HD185144,293.089736,69.661484,19322153+6939413,1.254,0.011,2012ApJ...746..101B,5289,24,0.5,4.56,0.02,-0.21
HIP96441,HD185395,294.110594,50.220993,19362654+5013155,0.749,0.007,2016A\&A...586A..94L,6914,33,0.5,4.24,0.01,-0.03
HIP96837,HD185958,295.26229,17.47607,19410294+1728338,1.764,0.012,2009MNRAS.394.1925V,4990,20,0.4,2.2,0.02,0
HIP96895,HD186408,295.454021,50.52515,19414896+5031305,0.539,0.007,2013MNRAS.433.1262W,5849,39,0.7,4.28,0.02,0.08
HIP96901,HD186427,295.466599,50.517578,19415198+5031032,0.49,0.006,2013MNRAS.433.1262W,5807,36,0.6,4.35,0.02,0.07
HIP97527,HD187637,297.325507,41.582561,19491812+4134572,0.231,0.006,2012ApJ...760...32H,6236,81,1.3,4.26,0.03,-0.09
HIP98036,HD188512,298.828284,6.406622,19551878+0624238,2.079,0.011,2020MNRAS.493.2377R,5155,15,0.3,3.68,0.06,-0.15
HIP98269,HD189349,299.509911,40.926826,19580237+4055365,0.417,0.005,2022A\&A...658A..48K,5175,31,0.6,2.39,0.04,-0.59
HIP98337,HD189319,299.68914,19.488253,19584539+1929177,6.089,0.011,2021AJ....162..198B,3904,30,0.8,1.06,0.04,-0.26
HIP98624,HD188887,300.468591,-66.943909,20015246-6656380,1.595,0.011,2018A\&A...616A..68G,4381,28,0.6,2.35,0.1,0.11
HIP98767,HD190360,300.905538,29.897032,20033732+2953493,0.698,0.019,2016A\&A...586A..94L,5463,75,1.4,4.26,0.03,0.22
HIP98819,HD190406,301.025834,17.070145,20040620+1704125,0.584,0.01,2012ApJ...751...97C,5825,50,0.9,4.35,0.02,0.05
HIP99663,HD192781,303.365026,60.640499,20132760+6038257,1.859,0.002,2010ApJ...710.1365B,4084,25,0.6,1.4,0.04,-0.24
